state,population,t2020-01-20,t2020-01-21,t2020-01-22,t2020-01-23,t2020-01-24,t2020-01-25,t2020-01-26,t2020-01-27,t2020-01-28,t2020-01-29,t2020-01-30,t2020-01-31,t2020-02-01,t2020-02-02,t2020-02-03,t2020-02-04,t2020-02-05,t2020-02-06,t2020-02-07,t2020-02-08,t2020-02-09,t2020-02-10,t2020-02-11,t2020-02-12,t2020-02-13,t2020-02-14,t2020-02-15,t2020-02-16,t2020-02-17,t2020-02-18,t2020-02-19,t2020-02-20,t2020-02-21,t2020-02-22,t2020-02-23,t2020-02-24,t2020-02-25,t2020-02-26,t2020-02-27,t2020-02-28,t2020-02-29,t2020-03-01,t2020-03-02,t2020-03-03,t2020-03-04,t2020-03-05,t2020-03-06,t2020-03-07,t2020-03-08,t2020-03-09,t2020-03-10,t2020-03-11,t2020-03-12,t2020-03-13,t2020-03-14,t2020-03-15,t2020-03-16,t2020-03-17,t2020-03-18,t2020-03-19,t2020-03-20,t2020-03-21,t2020-03-22,t2020-03-23,t2020-03-24,t2020-03-25,t2020-03-26,t2020-03-27,t2020-03-28,t2020-03-29,t2020-03-30,t2020-03-31,t2020-04-01,t2020-04-02,t2020-04-03,t2020-04-04,t2020-04-05,t2020-04-06,t2020-04-07,t2020-04-08,t2020-04-09,t2020-04-10,t2020-04-11,t2020-04-12,t2020-04-13,t2020-04-14,t2020-04-15,t2020-04-16,t2020-04-17,t2020-04-18,t2020-04-19,t2020-04-20,t2020-04-21,t2020-04-22,t2020-04-23,t2020-04-24,t2020-04-25,t2020-04-26,p2020-01-20,p2020-01-21,p2020-01-22,p2020-01-23,p2020-01-24,p2020-01-25,p2020-01-26,p2020-01-27,p2020-01-28,p2020-01-29,p2020-01-30,p2020-01-31,p2020-02-01,p2020-02-02,p2020-02-03,p2020-02-04,p2020-02-05,p2020-02-06,p2020-02-07,p2020-02-08,p2020-02-09,p2020-02-10,p2020-02-11,p2020-02-12,p2020-02-13,p2020-02-14,p2020-02-15,p2020-02-16,p2020-02-17,p2020-02-18,p2020-02-19,p2020-02-20,p2020-02-21,p2020-02-22,p2020-02-23,p2020-02-24,p2020-02-25,p2020-02-26,p2020-02-27,p2020-02-28,p2020-02-29,p2020-03-01,p2020-03-02,p2020-03-03,p2020-03-04,p2020-03-05,p2020-03-06,p2020-03-07,p2020-03-08,p2020-03-09,p2020-03-10,p2020-03-11,p2020-03-12,p2020-03-13,p2020-03-14,p2020-03-15,p2020-03-16,p2020-03-17,p2020-03-18,p2020-03-19,p2020-03-20,p2020-03-21,p2020-03-22,p2020-03-23,p2020-03-24,p2020-03-25,p2020-03-26,p2020-03-27,p2020-03-28,p2020-03-29,p2020-03-30,p2020-03-31,p2020-04-01,p2020-04-02,p2020-04-03,p2020-04-04,p2020-04-05,p2020-04-06,p2020-04-07,p2020-04-08,p2020-04-09,p2020-04-10,p2020-04-11,p2020-04-12,p2020-04-13,p2020-04-14,p2020-04-15,p2020-04-16,p2020-04-17,p2020-04-18,p2020-04-19,p2020-04-20,p2020-04-21,p2020-04-22,p2020-04-23,p2020-04-24,p2020-04-25,p2020-04-26,n2020-01-20,n2020-01-21,n2020-01-22,n2020-01-23,n2020-01-24,n2020-01-25,n2020-01-26,n2020-01-27,n2020-01-28,n2020-01-29,n2020-01-30,n2020-01-31,n2020-02-01,n2020-02-02,n2020-02-03,n2020-02-04,n2020-02-05,n2020-02-06,n2020-02-07,n2020-02-08,n2020-02-09,n2020-02-10,n2020-02-11,n2020-02-12,n2020-02-13,n2020-02-14,n2020-02-15,n2020-02-16,n2020-02-17,n2020-02-18,n2020-02-19,n2020-02-20,n2020-02-21,n2020-02-22,n2020-02-23,n2020-02-24,n2020-02-25,n2020-02-26,n2020-02-27,n2020-02-28,n2020-02-29,n2020-03-01,n2020-03-02,n2020-03-03,n2020-03-04,n2020-03-05,n2020-03-06,n2020-03-07,n2020-03-08,n2020-03-09,n2020-03-10,n2020-03-11,n2020-03-12,n2020-03-13,n2020-03-14,n2020-03-15,n2020-03-16,n2020-03-17,n2020-03-18,n2020-03-19,n2020-03-20,n2020-03-21,n2020-03-22,n2020-03-23,n2020-03-24,n2020-03-25,n2020-03-26,n2020-03-27,n2020-03-28,n2020-03-29,n2020-03-30,n2020-03-31,n2020-04-01,n2020-04-02,n2020-04-03,n2020-04-04,n2020-04-05,n2020-04-06,n2020-04-07,n2020-04-08,n2020-04-09,n2020-04-10,n2020-04-11,n2020-04-12,n2020-04-13,n2020-04-14,n2020-04-15,n2020-04-16,n2020-04-17,n2020-04-18,n2020-04-19,n2020-04-20,n2020-04-21,n2020-04-22,n2020-04-23,n2020-04-24,n2020-04-25,n2020-04-26
Georgia,10617423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,7,12,17,22,31,42,66,99,121,146,1508,1831,2386,3064,4020,5069,5484,6179,8926,9865,11051,12564,12724,16181,20326,22957,25265,26294,27832,31274,33713,38787,41085,46147,51715,54453,57021,61795,64090,67939,71684,74208,79933,84328,88140,94072,101062,107176,119014,123223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,7,12,17,22,31,42,66,99,121,146,197,1508,1831,2386,3064,4020,5069,5484,6179,8926,9865,11051,12564,12724,16181,20326,22957,25265,26294,27832,31274,33713,38787,41085,46147,51715,54453,57021,61795,64090,67939,71684,74208,79933,84328,88140,94072,101062,107176,119014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,6,7,12,17,22,31,42,66,99,121,1311,1544,1966,2557,3420,4297,5069,5484,7401,8926,9865,11051,12564,12724,16181,20326,22957,25265,26294,27832,31274,33713,38787,41085,46147,51715,54453,57021,61795,64090,67939,71684,74208,79933,84328,88140,94072,101062,107176,119014
Hawaii,1415872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,7,10,107,109,150,161,311,3011,3666,4447,4452,4463,4477,7000,8000,8675,8929,10464,10491,12278,12955,13526,13542,15149,15751,16149,17531,17968,18844,19420,19803,20700,21857,22343,23470,24175,24696,25342,26128,26887,28040,28483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,7,10,14,107,109,150,161,311,3011,3666,4447,4452,4463,4477,7000,8000,8675,8929,10464,10491,12278,12955,13526,13542,15149,15751,16149,17531,17968,18844,19420,19803,20700,21857,22343,23470,24175,24696,25342,26128,26887,28040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,2,2,7,93,107,124,150,263,2955,3589,4357,4447,4452,4463,6849,7825,8471,8721,10206,10464,11959,12604,13155,13526,14739,15316,15751,17066,17531,18345,18916,19420,20170,21316,21857,22896,23595,24175,24760,25536,26291,27439,28040
Idaho,1787065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,41,41,67,93,131,176,179,270,353,468,470,613,911,1217,1356,1937,1960,2188,2857,3572,4282,4706,5712,6601,7282,7945,8870,10261,10995,11246,11898,12531,13094,13764,14308,14881,15114,15398,15831,16183,16609,16869,17445,17660,17730,18092,19091,19361,19565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,41,41,67,93,131,176,179,270,353,468,470,613,911,1217,1356,1937,1960,2188,2857,3572,4282,4706,5712,6601,7282,7945,8870,10261,10995,11246,11898,12531,13094,13764,14308,14881,15114,15398,15831,16183,16609,16869,17445,17660,17730,18092,19091,19361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,27,41,41,67,93,131,174,176,265,346,459,468,590,880,1175,1309,1887,1937,2065,2668,3342,4021,4396,5297,6076,6613,7282,7945,9184,10261,10995,11246,11898,12531,13094,13764,14308,14881,15114,15398,15831,16183,16609,16869,17445,17660,17730,18092,19091,19361
Illinois,12671821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,170,185,197,197,198,263,263,291,326,362,513,1025,1499,2051,3147,4281,6241,8320,9856,11469,14209,16631,21542,25491,27762,30446,35225,40384,43656,48048,53581,58983,62942,68732,75066,80857,87527,92149,100735,105768,110616,116929,122589,130163,137404,143318,148358,154997,164346,173316,189632,201617,214952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,128,170,185,197,197,198,263,263,291,326,362,513,1025,1499,2051,3147,4281,6241,8320,9856,11469,14209,16631,21542,25491,27762,30446,35225,40384,43656,48048,53581,58983,62942,68732,75066,80857,87527,92149,100735,105768,110616,116929,122589,130163,137404,143318,148358,154997,164346,173316,189632,201617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,165,180,191,197,197,244,263,266,294,326,449,932,1340,1763,2725,3696,5488,7271,8583,9934,12344,14209,18516,22000,25491,27762,30446,35225,40384,43656,48048,53581,58983,62942,68732,75066,80857,87527,92149,100735,105768,110616,116929,122589,130163,137404,143318,148358,154997,164346,173316,189632,201617
Indiana,6732219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,36,43,64,73,89,121,139,159,193,380,554,833,1494,1960,2931,3356,4651,6936,8407,9830,11658,13373,14375,16285,17835,19800,22652,26191,28764,30869,32133,35040,39215,42489,44539,46017,48396,51115,54785,56873,61142,64639,67264,69470,72040,75553,79774,81708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,6,36,43,64,73,89,121,139,159,193,380,554,833,1494,1960,2931,3356,4651,6936,8407,9830,11658,13373,14375,16285,17835,19800,22652,26191,28764,30869,32133,35040,39215,42489,44539,46017,48396,51115,54785,56873,61142,64639,67264,69470,72040,75553,79774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,30,36,52,64,74,102,121,139,159,324,475,707,1293,1701,2566,2931,4006,5955,7175,8407,9872,11658,13373,14375,16285,17835,19800,22652,26191,28764,30869,32133,35040,39215,42489,44539,46017,48396,51115,54785,56873,61142,64639,67264,69470,72040,75553,79774
Iowa,3155070,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,29,40,59,81,99,100,101,105,106,112,121,687,1117,1305,2148,2439,2723,2757,3975,4673,5349,6586,7385,7853,8668,9453,10240,10841,11599,12718,13966,14973,15953,17132,17592,18696,18885,19869,20675,21792,22947,24550,25820,27615,28244,29262,31973,34350,36090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,29,40,59,81,99,100,101,105,106,112,121,687,1117,1305,2148,2439,2723,2757,3975,4673,5349,6586,7385,7853,8668,9453,10240,10841,11599,12718,13966,14973,15953,17132,17592,18696,18885,19869,20675,21792,22947,24550,25820,27615,28244,29262,31973,34350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,15,26,32,46,67,83,99,100,101,105,106,112,642,1049,1215,2043,2315,2578,2723,3740,4375,5013,6162,6888,7385,8054,8754,9454,10240,10841,11670,12821,13966,14973,15953,17132,17592,18696,18885,19869,20675,21792,22947,24550,25820,27615,28244,29262,31973,34350
Kansas,2913314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,12,12,18,42,45,99,99,143,177,397,433,451,461,472,481,499,2184,2486,3037,3431,3932,4513,4922,5424,5893,6611,7074,7578,8223,9084,9514,10183,10775,11414,12343,13253,13864,14147,14668,16122,16901,17676,18130,18761,19101,20203,21318,23588,25199,26227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,12,12,18,42,45,99,99,143,177,397,433,451,461,472,481,499,2184,2486,3037,3431,3932,4513,4922,5424,5893,6611,7074,7578,8223,9084,9514,10183,10775,11414,12343,13253,13864,14147,14668,16122,16901,17676,18130,18761,19101,20203,21318,23588,25199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11,11,12,17,41,42,93,99,135,166,382,417,433,451,461,472,481,2086,2360,2869,3229,3671,4194,4554,4996,5424,6059,6611,7074,7578,8239,9084,9514,10183,10775,11414,12343,13253,13864,14147,14668,16122,16901,17676,18130,18761,19101,20203,21318,23588,25199
Kentucky,4467673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,14,21,34,54,64,118,153,155,255,317,380,489,639,768,1571,1866,1886,3022,3300,4016,5123,5541,6018,6810,7556,7900,12804,15572,16663,18767,19955,21604,21801,24288,24288,24567,25866,26683,27697,28324,29747,30596,32225,32572,32820,33328,36075,42844,44962,46558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,10,14,21,34,54,64,118,153,155,255,317,380,489,639,768,1571,1866,1886,3022,3300,4016,5123,5541,6018,6810,7556,7900,12804,15572,16663,18767,19955,21604,21801,24288,24288,24567,25866,26683,27697,28324,29747,30596,32225,32572,32820,33328,36075,42844,44962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,13,17,28,46,56,107,139,153,234,295,354,454,592,714,1472,1762,1866,2865,3102,3768,4821,5147,5579,6330,6965,7556,12034,14741,15746,17812,18947,20455,21604,22595,24288,24288,24567,25866,26683,27697,28324,29747,30596,32225,32572,32820,33328,39363,42844,44962
Louisiana,4648794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,43,51,73,178,247,302,457,575,805,1047,2765,3498,5948,8603,11451,18029,21359,25161,27871,34033,38967,45776,51086,53645,58498,60325,69166,74655,81406,86919,92280,96915,104045,108091,118422,121928,126586,131987,137999,141504,142099,142430,142834,143315,143716,143716,143716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,12,43,51,73,178,247,302,457,575,805,1047,2765,3498,5948,8603,11451,18029,21359,25161,27871,34033,38967,45776,51086,53645,58498,60325,69166,74655,81406,86919,92280,96915,104045,108091,118422,121928,126586,131987,137999,141504,142099,142430,142834,143315,143716,143716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,11,37,43,51,109,178,247,302,457,575,805,2180,2765,4776,7215,9656,15724,18613,21846,25161,30008,34033,39352,45776,51086,53645,58498,60325,69166,74655,81406,86919,92280,96915,104045,108091,118422,121928,126586,131987,137999,141504,142099,142430,142834,143315,143716,143716
Maine,1344212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,20,42,66,94,94,94,781,1335,1713,2057,2321,2337,2353,2898,3139,3326,3549,3562,3605,3647,3669,6391,6432,6464,6520,6544,6558,6587,6607,6625,6648,6674,6704,6721,12306,12342,14846,14872,14903,14923,14943,14951,14964,17691,17721,17749,17774,17799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,20,42,66,94,94,94,781,1335,1713,2057,2321,2337,2353,2898,3139,3326,3549,3562,3605,3647,3669,6391,6432,6464,6520,6544,6558,6587,6607,6625,6648,6674,6704,6721,12306,12342,14846,14872,14903,14923,14943,14951,14964,17691,17721,17749,17774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,20,42,65,91,94,94,764,1303,1670,2004,2264,2321,2337,2791,3014,3177,3394,3549,3562,3605,3647,6088,6391,6432,6464,6520,6544,6558,6587,6607,6625,6648,6674,6704,11608,12306,14076,14846,14872,14903,14923,14943,14951,16784,17691,17721,17749,17774
Maryland,6045680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,44,55,78,95,103,106,111,120,125,131,151,179,201,243,284,338,382,443,517,674,868,12508,13593,14729,16528,19218,21221,23690,25610,28337,29617,31627,38462,41529,44448,47238,49764,51751,53733,55763,58843,62009,65370,67891,71397,73635,76529,80100,84716,89123,96665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,44,55,78,95,103,106,111,120,125,131,151,179,201,243,284,338,382,443,580,774,992,12508,13593,14729,16528,19218,21221,23690,25610,28337,29617,31627,38462,41529,44448,47238,49764,51751,53733,55763,58843,62009,65370,67891,71397,73635,76529,80100,84716,89123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,41,52,73,89,95,103,106,111,120,125,131,151,179,201,243,284,338,382,443,517,674,11516,12508,13593,14868,17233,19218,21221,23690,25610,28337,29617,32933,38462,41529,44448,47238,49764,51751,53733,55763,58843,62009,65370,67891,71397,73635,76529,80100,84716,89123
Massachusetts,6892503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,38,712,1393,1869,2427,3376,4423,5651,6570,9619,14834,21557,25963,32546,39231,43946,48472,53482,59403,65501,73291,80465,84369,90198,96478,104233,113832,123320,131647,142225,149088,155038,162730,175082,187445,199658,208935,218878,227780,234615,252308,266182,280193,291038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,38,64,712,1393,1869,2427,3376,4423,5651,6570,9619,14834,21557,25963,32546,39231,43946,48472,53482,59403,65501,73291,80465,84369,90198,96478,104233,113832,123320,131647,142225,149088,155038,162730,175082,187445,199658,208935,218878,227780,234615,252308,266182,280193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,23,648,1296,1751,2271,3147,4109,5225,6023,8941,13774,19818,23645,29395,35073,39231,43946,48472,53482,59403,65501,73291,80465,84369,90198,96478,104233,113832,123320,131647,142225,149088,155038,162730,175082,187445,199658,208935,218878,227780,234615,252308,266182,280193
Michigan,9986857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,34,52,80,106,146,194,290,397,554,793,1078,1401,1685,2205,3019,4128,5177,6773,8239,8810,10486,12237,14597,18072,21298,23470,25686,32084,35854,40125,44485,48922,53800,57898,61970,65373,66139,67054,72044,76014,79437,82644,86226,89697,94286,98959,99727,109661,113798,117226,118225,128321,136296,144044,151006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,34,52,72,98,128,168,254,358,497,702,945,1196,1480,1933,2393,3019,4128,5177,6773,8239,8810,10486,12237,14597,18072,21298,23470,25686,32084,35854,40125,44485,48922,53800,57898,61970,65373,66139,67054,72044,76014,79437,82644,86226,89697,94286,98959,99727,109661,113798,117226,118225,128321,136296,144044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,18,34,52,80,106,146,194,290,397,554,793,1078,1401,1685,2205,3019,4128,5177,6773,8239,8810,10486,12237,14597,18072,21298,23470,25686,32084,35854,40125,44485,48922,53800,57898,61970,65373,66139,67054,72044,76014,79437,82644,86226,89697,94286,98959,99727,109661,113798,117226,118225,128321,136296,144044
Minnesota,5639632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,49,49,82,135,222,316,555,868,1422,1893,2336,2762,3038,3856,4090,4680,4746,5812,11475,12950,14003,16129,17657,18822,19780,21191,22394,24227,25423,26777,28128,29260,30753,32294,33894,35404,37421,38427,39241,40242,41675,43053,44268,45716,46850,47697,49344,51548,53787,56597,58987,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,49,49,82,135,222,316,555,868,1422,1893,2336,2762,3038,3856,4090,4680,4746,5812,11475,12950,14003,16129,17657,18822,19780,21191,22394,24227,25423,26777,28128,29260,30753,32294,33894,35404,37421,38427,39241,40242,41675,43053,44268,45716,46850,47697,49344,51548,53787,56597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,48,49,80,132,217,307,541,847,1387,1839,2276,2685,2949,3741,3952,4511,4680,5550,11188,12604,13605,15688,17154,18246,19151,20502,21652,23438,24558,25842,27142,28191,29599,31052,32558,33977,35800,37421,38427,39241,40242,41675,43053,44268,45716,46850,47697,49344,51548,53787,56597
Mississippi,2976149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,42,45,90,94,289,389,513,602,775,835,1321,1392,1872,1943,2776,3139,3223,3318,3836,4474,4785,5930,6111,6588,7218,20370,20547,20635,20892,21101,21274,21413,30984,37878,38151,38415,38584,38765,39065,51434,52364,53835,55389,55670,58957,60788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,42,45,90,94,289,389,513,602,775,835,1321,1392,1872,1943,2776,3139,3223,3318,3836,4474,4785,5930,6111,6588,7218,20370,20547,20635,20892,21101,21274,21413,30984,37878,38151,38415,38584,38765,39065,51434,52364,53835,55389,55670,58957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,41,42,84,90,277,368,479,552,695,775,1114,1321,1552,1872,2291,2776,3139,3223,3318,3836,4474,4785,5930,6111,6588,18632,20370,20547,20635,20892,21101,21274,28042,34791,37878,38151,38415,38584,38765,46922,51434,52364,53835,55389,55670,58957
Missouri,6137428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,65,73,94,127,170,215,266,332,416,442,459,552,552,725,871,1038,10920,12385,14235,15941,17427,19683,21470,24905,27249,29835,31969,34110,38494,40740,43172,45200,45428,47978,49012,50648,51717,53759,53909,56013,57120,58156,59450,65207,67218,69748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,65,73,94,127,170,215,266,332,416,442,459,552,552,725,871,1038,10920,12385,14235,15941,17427,19683,21470,24905,27249,29835,31969,34110,38494,40740,43172,45200,45428,47978,49012,50648,51717,53759,53909,56013,57120,58156,59450,65207,67218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,64,71,90,122,164,207,253,308,369,416,442,459,552,552,725,871,10082,11547,13204,14614,15941,17849,19683,22614,24905,27249,29835,31969,34955,38494,40740,43172,45200,45428,47978,49012,50648,51717,53759,53909,56013,57120,58156,59450,65207,67218
